sub,trl,cpos,cdur,resp,rt,type,d1,d2,correct,rt_new,c_s,inCm,UCL
5,621,1,700,1,0.452,1,700,500,1,0.252,0.7693825369102623,FALSE,0.5518188960527828
5,530,1,380,2,0.455,2,380,500,1,0.455,0.7716887115411596,FALSE,0.5518460466011184
5,10,2,460,2,0.457,1,500,460,0,0.41700000000000004,0.763971824425748,FALSE,0.5518726430641128
5,488,1,340,2,0.459,2,340,500,1,0.459,0.7663321061814905,FALSE,0.5518986970317903
5,62,1,300,2,0.46,2,300,500,1,0.46,0.7686687851196756,FALSE,0.55192421984008
5,466,2,380,1,0.461,1,500,380,1,0.341,0.7709820972684789,FALSE,0.5519492225768735
5,551,1,460,2,0.462,2,460,500,1,0.462,0.7732722762957941,FALSE,0.5519737160879165
5,394,1,620,1,0.463,1,620,500,1,0.343,0.7755395535328361,FALSE,0.5519977109825422
5,293,2,380,1,0.464,1,500,380,1,0.34400000000000003,0.7777841579975078,FALSE,0.5520212176392505
5,476,2,580,2,0.464,2,500,580,1,0.464,0.7800063164175327,FALSE,0.5520442462111358
5,492,2,300,1,0.464,1,500,300,1,0.264,0.7822062532533574,FALSE,0.5520668066311732
5,221,1,620,1,0.466,1,620,500,1,0.34600000000000003,0.7843841907208238,FALSE,0.5520889086173622
5,366,1,540,2,0.467,1,540,500,0,0.42700000000000005,0.7765403488136156,FALSE,0.5521105616777351
5,597,2,540,2,0.467,2,500,540,1,0.467,0.7787749453254794,FALSE,0.5521317751152356
5,54,1,660,1,0.468,1,660,500,1,0.30800000000000005,0.7809871958722246,FALSE,0.5521525580324671
5,504,2,340,1,0.469,1,500,340,1,0.30899999999999994,0.7831773239135024,FALSE,0.5521729193363203
5,400,2,660,2,0.471,2,500,660,1,0.471,0.7853455506743674,FALSE,0.5521928677424791
5,124,2,660,1,0.473,2,500,660,0,0.473,0.7774920951676237,FALSE,0.5522124117798111
5,103,1,300,2,0.475,2,300,500,1,0.475,0.7797171742159476,FALSE,0.5522315597946457
