sub,trl,cpos,cdur,resp,rt,type,d1,d2,correct,c_s,inCm,UCL
5,310,2,500,1,767,3,500,500,0,NA,empty,NA
5,271,2,460,1,769,1,500,460,1,0.8942007701919535,FALSE,0.5531644424445161
5,536,2,480,1,770,1,500,480,1,0.895258762490034,FALSE,0.5531644752388433
5,592,2,460,1,773,1,500,460,1,0.8963061748651336,FALSE,0.5531645073805438
5,160,2,580,2,774,2,500,580,1,0.8973431131164823,FALSE,0.5531645388826055
5,388,2,600,2,777,2,500,600,1,0.8983696819853175,FALSE,0.5531645697577582
5,389,2,460,1,777,1,500,460,1,0.8993859851654643,FALSE,0.5531646000184779
5,565,2,460,1,778,1,500,460,1,0.9003921253138096,FALSE,0.5531646296769925
5,89,2,400,1,780,1,500,400,1,0.9013882040606715,FALSE,0.5531646587452866
5,204,2,540,2,781,2,500,540,1,0.9023743220200648,FALSE,0.5531646872351064
5,498,2,560,1,785,2,500,560,0,0.8933505787998642,FALSE,0.5531647151579638
5,285,2,420,1,787,1,500,420,1,0.8944170730118656,FALSE,0.55316474252514225
5,62,2,440,2,788,1,500,440,0,0.8854729022817469,FALSE,0.5531647693477001
5,590,2,520,2,791,2,500,520,1,0.8866181732589294,FALSE,0.5531647956364759
5,108,2,480,1,797,1,500,480,1,0.8877519915263401,FALSE,0.5531648214020924
5,174,2,500,2,800,3,500,500,0,NA,empty,NA
5,136,2,560,1,802,2,500,560,0,0.8788744716110767,FALSE,0.553164871405286
5,134,2,460,2,806,1,500,460,0,0.8700857268949659,FALSE,0.5531648956630684
5,589,2,480,1,806,1,500,480,1,0.8713848696260162,FALSE,0.5531649194381101
5,616,2,600,2,807,2,500,600,1,0.8726710209297561,FALSE,0.5531649427400182
5,377,2,600,2,809,2,500,600,1,0.8739443107204585,FALSE,0.5531649655782083
5,383,2,540,2,812,2,500,540,1,0.8752048676132539,FALSE,0.5531649879619089
5,75,2,520,2,813,2,500,520,1,0.8764528189371213,FALSE,0.5531650099001648
5,34,2,560,2,817,2,500,560,1,0.8776882907477501,FALSE,0.5531650314018406
5,330,2,580,2,818,2,500,580,1,0.8789114078402727,FALSE,0.5531650524756246
5,580,2,600,2,822,2,500,600,1,0.8801222937618699,FALSE,0.5531650731300323
5,370,2,560,2,824,2,500,560,1,0.8813210708242512,FALSE,0.5531650933734094
5,481,2,520,2,824,2,500,520,1,0.8825078601160087,FALSE,0.5531651132139358
5,541,2,500,2,830,3,500,500,0,NA,empty,NA
5,532,2,560,2,835,2,500,560,1,0.8836827815148486,FALSE,0.5531651517183451
5,361,2,500,2,836,3,500,500,0,NA,empty,NA
5,395,2,480,1,840,1,500,480,1,0.8848459536997001,FALSE,0.5531651887055008
5,208,2,580,2,843,2,500,580,1,0.8859974941627031,FALSE,0.5531652066488855
5,352,2,540,2,843,2,500,540,1,0.8871375192210761,FALSE,0.5531652242351908
5,135,2,600,2,847,2,500,600,1,0.8882661440288653,FALSE,0.5531652414715231
5,392,2,520,2,847,2,500,520,1,0.8893834825885766,FALSE,0.5531652583648469
5,405,2,420,1,848,1,500,420,1,0.8904896477626908,FALSE,0.5531652749219883
5,529,2,560,2,849,2,500,560,1,0.8915847512850639,FALSE,0.55316529114963775
5,507,2,460,1,852,1,500,460,1,0.8926689037722132,FALSE,0.5531653070543521
5,87,2,520,2,854,2,500,520,1,0.8937422147344911,FALSE,0.5531653226425579
5,514,2,520,2,856,2,500,520,1,0.8948047925871462,FALSE,0.5531653379205541
5,154,2,600,2,859,2,500,600,1,0.8958567446612747,FALSE,0.5531653528945139
5,218,2,500,1,860,3,500,500,0,NA,empty,NA
5,653,2,500,1,861,3,500,500,0,NA,empty,NA
5,501,2,540,2,862,2,500,540,1,0.896898177214662,FALSE,0.5531653960520801
5,63,2,400,1,865,1,500,400,1,0.8979291954425154,FALSE,0.553165409869207
5,73,2,520,1,865,2,500,520,0,0.8889499034880902,FALSE,0.5531654234113698
5,394,2,520,2,866,2,500,520,1,0.8900604044532093,FALSE,0.5531654366840401
5,15,2,500,2,869,3,500,500,0,NA,empty,NA
5,450,2,480,1,869,1,500,480,1,0.8911598004086773,FALSE,0.5531654624422488
5,64,2,420,2,874,1,500,420,0,0.8822482024045905,FALSE,0.5531654749381953
5,489,2,560,2,878,2,500,560,1,0.8834257203805446,FALSE,0.5531654871854697
5,448,2,520,1,880,2,500,520,0,0.8745914631767391,FALSE,0.5531654991890205
5,66,2,400,1,883,1,500,400,1,0.8758455485449717,FALSE,0.553165510953698
5,241,2,540,1,887,2,500,540,0,0.8670870930595219,FALSE,0.553165522484256
5,298,2,500,1,895,3,500,500,0,NA,empty,NA
5,620,2,540,1,904,2,500,540,0,0.8584162221289267,FALSE,0.5531655448615566
5,385,2,480,1,906,1,500,480,1,0.8598320599076373,FALSE,0.5531655557173412
5,466,2,500,1,906,3,500,500,0,NA,empty,NA
5,334,2,460,1,913,1,500,460,1,0.861233739308561,FALSE,0.5531655767851126
5,273,2,460,1,917,1,500,460,1,0.8626214019154753,FALSE,0.5531655870056121
5,605,2,560,2,923,2,500,560,1,0.8639951878963206,FALSE,0.5531655970227219
5,236,2,460,1,924,1,500,460,1,0.8653552360173574,FALSE,0.5531656068404893
5,438,2,480,1,925,1,500,480,1,0.8667016836571838,FALSE,0.5531656164628814
5,300,2,500,2,937,3,500,500,0,NA,empty,NA
5,610,2,540,1,945,2,500,540,0,0.8580346668206119,FALSE,0.5531656351370144
5,374,2,480,1,946,1,500,480,1,0.8594543201524057,FALSE,0.5531656441963008
5,222,2,520,2,952,2,500,520,1,0.8608597769508817,FALSE,0.5531656530753059
5,277,2,480,2,954,1,500,480,0,0.8522511791813728,FALSE,0.5531656617776173
5,420,2,520,2,956,2,500,520,1,0.8537286673895591,FALSE,0.5531656703067513
5,262,2,460,1,961,1,500,460,1,0.8551913807156635,FALSE,0.5531656786661543
5,151,2,480,2,966,1,500,480,0,0.8466394669085068,FALSE,0.5531656868592039
5,157,2,420,1,966,1,500,420,1,0.8481730722394217,FALSE,0.5531656948892105
5,35,2,500,2,968,3,500,500,0,NA,empty,NA
5,175,2,500,2,973,3,500,500,0,NA,empty,NA
5,338,2,480,2,973,1,500,480,0,0.8396913415170275,FALSE,0.5531657180330974
5,612,2,520,2,976,2,500,520,1,0.8412944281018573,FALSE,0.5531657254427391
5,398,2,560,2,977,2,500,560,1,0.8428814838208387,FALSE,0.553165732704928
5,325,2,500,2,980,3,500,500,0,NA,empty,NA
5,557,2,400,1,980,1,500,400,1,0.8444526689826304,FALSE,0.5531657467986262
5,143,2,500,1,982,3,500,500,0,NA,empty,NA
5,127,2,540,2,983,2,500,540,1,0.8460081422928041,FALSE,0.5531657603369728
5,132,2,560,2,986,2,500,560,1,0.847548060869876,FALSE,0.5531657669047619
5,109,2,600,2,987,2,500,600,1,0.8490725802611773,FALSE,0.5531657733418514
5,48,2,520,1,1000,2,500,520,0,0.8405818544585655,FALSE,0.5531657796508419
5,210,2,500,2,1003,3,500,500,0,NA,empty,NA
5,375,2,600,2,1006,2,500,600,1,0.8421760359139798,FALSE,0.5531657918946725
5,587,2,480,1,1013,1,500,480,1,0.8437542755548401,FALSE,0.5531657978344597
5,487,2,560,2,1015,2,500,560,1,0.8453167327992916,FALSE,0.5531658036560447
5,421,2,540,2,1016,2,500,540,1,0.8468635654712987,FALSE,0.5531658093617794
5,235,2,440,2,1026,1,500,440,0,0.8383949298165857,FALSE,0.5531658149539694
5,278,2,500,1,1036,3,500,500,0,NA,empty,NA
5,581,2,560,1,1051,2,500,560,0,0.8300109805184198,FALSE,0.5531658258067086
5,596,2,540,2,1053,2,500,540,1,0.8317108707132356,FALSE,0.5531658310716429
5,503,2,480,2,1055,1,500,480,0,0.8233937620061033,FALSE,0.5531658362318045
5,133,2,540,1,1061,2,500,540,0,0.8151598243860422,FALSE,0.5531658412892784
5,418,2,500,2,1068,3,500,500,0,NA,empty,NA
5,112,2,500,1,1069,3,500,500,0,NA,empty,NA
5,411,2,540,2,1070,2,500,540,1,0.8170082261421817,FALSE,0.5531658558658062
5,213,2,520,1,1073,2,500,520,0,0.8088381438807599,FALSE,0.5531658605325618
5,549,2,560,2,1073,2,500,560,1,0.8107497624419523,FALSE,0.5531658651064484
5,25,2,540,2,1078,2,500,540,1,0.8126422648175328,FALSE,0.5531658695893144
5,299,2,500,2,1078,3,500,500,0,NA,empty,NA
5,364,2,460,1,1078,1,500,460,1,0.8145158421693575,FALSE,0.5531658782891933
5,478,2,500,2,1079,3,500,500,0,NA,empty,NA
